text,label,perplexity
"Суд по делу об убийстве Бориса Немцова удовлетворил требование стороны потерпевших о вызове на допрос замкомандира батальона ""Север"" Руслана Геремеева и его родственника Артура, а также Аликбека Делимханова - командира батальона ""Север"", на момент убийства входившего в структуру внутренних войск МВД России.Как передает корреспондент Русской службы Би-би-си, требование о вызове свидетелей удовлетворено частично.В обосновании адвокаты потерпевших - семьи Немцова - заявили, что Руслан Геремеев - ""лицо, которое безусловно был знаком со всеми подсудимыми, находился с ними в постоянном контакте"".",0,8
"Совещание с главами регионов Северного Кавказа и главами территориальных подразделений ФСБ и МВД в Махачкале, которое ""неожиданно"" посетил российский президент Дмитрий Медведев, комментируют в пятницу российские газеты.""Коммерсант"" пишет, что ""президент соизмеряет силу со спецификой"". Он прибыл в Дагестан, отменив запланированную встречу с лидерами думских фракций. И на совещании в Махачкале поставил пять антитеррористических задач.""Первые две, - обобщает издание, - оказались силовыми: укрепить правоохранительную и силовую составляющую и ""наносить острые кинжальные удары по террористам, уничтожать их самих и их пристанища"".",0,8
"НАЛЬЧИК, 28 авг — РИА Новости. Министерство строительства и ЖКХ России разработало ряд стимулирующих мер для привлечения частных инвестиций в сферу ЖКХ в регионах, решения по ним на правительственном уровне будут приняты в сентябре, сообщил в пятницу заместитель главы Минстроя Андрей Чибис.""Кроме, как привлечь добросовестный бизнес с высокой компетенцией и деньгами, другого варианта модернизации коммунальной инфраструктуры не существует.",0,9
"СОЧИ, 5 июля. /ТАСС/. Полномочия по управлению школами менее чем за три года перейдут от муниципалитетов на уровень регионов. Об этом в среду заявила журналистам глава Минобрнауки Ольга Васильева.""У нас нет 5-10 лет. Я думаю, это будет даже быстрее, чем за три года, потому что это необходимость времени"", - сказала министр.",0,10
"Армейские командиры в Демократической Республики Конго подписали декларацию, целью которой является борьба с изнасилованиями в зонах военных действий.Таким образом, теперь каждый высокопоставленный военный должен уважать законы против сексуального насилия и помогать следствию, если преступление на сексуальной почве совершил кто-либо под его командованием.При подписании декларации присутствовали члены кабинета министров Демократической Республики Конго и спецпосланник ООН по вопросу сексуального насилия в условиях конфликтов Зайнаб Хава Бангура.По словам Бангуры, соглашение должно способствовать искоренению изнасилований.Как отмечают правозащитники, сексуальное насилие в ДР Конго чинят как солдаты правительственной армии, так и повстанцы.",0,6
"Польша должна в ближайшее время ответить на вопросы о соблюдении европейских ценностей. Такое заявление сделал глава немецкого МИДа Франк-Вальтер Штайнмайер. Недовольство Брюсселя вызвала проведенная Варшавой реформа Конституционного суда и закон о СМИ. Польский вопрос обсуждается на дебатах в Европарламенте.Еврокомиссия еще и не начинала обсуждение, а Польша уже запела. Льются патриотические песни, развеваются национальные флаги. Жители Варшавы митингуют у дверей представительства Европарламента. Руки прочь от Польши, все сможем сами, без Ангелы, нет бюрократам в Брюсселе! Собравшиеся недовольны, что европейские чиновники слишком вмешиваются в дела их страны.Но претензии Евросоюза к Польше появились не на пустом месте. Брюссель беспокоит слишком дерзкая политика Варшавы.",0,8
"В понедельник в аэропорту Хабаровска приземлился самолет, на борту которого находились российские туристы, застрявшие на китайском острове Хайнань. Пассажиры чартерного рейса авиакомпании ""Ираэро"" не могли покинуть курорт с прошлой недели из-за технической неисправности самолета.""",0,9
"ТАСС, 12 декабря. Московский ""Спартак"" сделал предложение турецкому ""Фенербахче"" о покупке футболиста Романа Нойштедтера. Об этом сообщает турецкая газета Star.Какова сумма трансфера, предложенная красно-белыми, не сообщается. По данным издания, тренерский штаб не хочет продавать 29-летнего защитника.В октябре Нойштедтер сообщил, что во время летнего трансферного окна ""Спартак"" проявлял к нему интерес, но переговоров между московским клубом и ""Фенербахче"" не было.Защитник, который может сыграть и на позиции опорного полузащитника, выступает за турецкий клуб с 2016 года, ранее он играл за немецкий ""Шальке"".",0,7
"Times в своей редакционной статье пишет, что изменив одну государственную границу в Европе, российский президент Владимир Путин выпустил из бутылки злого джинна.Столкновение в пятницу в Одессе продемонстрировало, что он больше не контролирует события на местах.Незаконная аннексия Крыма убедила сепаратистов, что военными методами они могут прийти к власти. Это опасное заблуждение, и разуверить их должен российский лидер, считает Times.Альтернатива может оказаться не менее кровавой, чем на Балканах в 90-е годы.Главной целью Путина является ослабление или полный паралич любого прозападного правительства в Киеве.",0,8
"В подмосковном Дзержинском обрушилась кровля в битумном хранилище возле ТЭЦ-22.Как сообщили ""Интерфаксу"" в региональном главке МЧС РФ, площадь пожара увеличилась до 300 квадратных метров. Горит битумное хранилище, две бытовки, цистерна и бесхозное строение. По предварительным данным, в результате ЧП никто не пострадал.Между тем в ""Мосэнерго"" подчеркнули, что пожар произошел за пределами ТЭЦ.",0,10
"Обвиняемый в нападении на прихожан синагоги в Москве Александр Копцев принес свои извинения потерпевшим и их родственникам за вред, нанесенный их здоровью. Такое заявление сделал обвиняемый в ходе сегодняшнего заседания в Моковском городском суде (Мосгорсуд).Сегодня А.Копцев вновь повторил, что он признает свою вину в нанесении телесных повреждений прихожанам, однако отметил, что делал это ""не из национальной ненависти"". При этом он опять отверг обвинения по статье 105 (убийство).",0,8
"Государственная дума приняла постановление о назначении членами Совета директоров Центрального банка России Олега Вьюгина, Надежды Ивановой и Андрея Козлова. При необходимых для принятия решения 226 голосах ""за"" проголосовали 276 депутатов, ""против"" - 11. Воздержавшихся не было.Олег Вьюгин с 2002 года работает первым заместителем председателя Центрального банка РФ. Он родился в 1952 году в Уфе, образование – высшее. В 1974 году окончил Московский государственный университет им. Ломоносова по специальности ""математик"".",0,9
"Таксист в Подмосковье стал жертвой грабителя в канун Нового года. Злоумышленник, видимо, пассажир, находился в машине шофера. В какой-то момент он приставил нож к горлу водителя и заставил его отдать мобильный телефон.Как сообщили в ГУ МВД по МО, ущерб от действий преступника составил 5,5 тысяч рублей.",0,10
"Из-за авиаудара самолетов так называемой арабской коалиции в Йемене погибли один из лидеров мятежников из шиитского движения хуситов ""Ансар Алла"" и девять его сопровождающих. Это произошло близ города Хожа на западе Йемена.Погибший — Абдалла Яхья аль-Муайяд — занимал пост официального представителя министерства информации в правительстве хуситов.",0,9
"МОСКВА, 25 декабря. /ТАСС/. Ситуация на рынке труда в РФ становится сложнее. Об этом сообщила вице-премьер правительства РФ Ольга Голодец на заседании российской трехсторонней комиссии по урегулированию социально-трудовых отношений (РТК).""Я тоже обращаю внимание именно сейчас, что ситуация становится сложнее, мы это видим"", - сказала Голодец. Она призвала участников комиссии организовывать для работников горячие линии, чтобы информация о возможных сокращениях доходила до Минтруда оперативно.""",0,7
"* Пресс-конференция и представление авторской модели знаменитой несохранившейся скульптуры Ивана Шадра ""Девушка с веслом"" (1934-1935, отлита в бронзе в 1956) и фрагмента второго, также утраченного, варианта скульптуры, созданного в 1936 году (голова девушки) состоится в Третьяковской галерее. Проект реализуется в рамках презентации культурно спортивный проект - международную регату ""Золотые весла Санкт-Петербурга"" (10.30, Крымский Вал, 10, зал № 16, rusrowing.press@gmail.com, тел: 957 0792, +7 (916) 205 3618).* Станет известен шорт-лист литературной премии ""Национальный бестселлер"". В лонг-лист вошли 65 произведений.",0,12
"Число заболевших коронавирусом в Иордании возросло до 259Число заболевших коронавирусом в Иордании возросло до 259Выявлено 13 новых случаев заболевания короновирусом в Иордании, заявил министр здравоохранения королевства Саад Джабер в воскресенье. РИА Новости, 29.03.2020БЕЙРУТ, 29 мар - РИА Новости. Выявлено 13 новых случаев заболевания короновирусом в Иордании, заявил министр здравоохранения королевства Саад Джабер в воскресенье.""",0,4
Представитель госдепа США обсудит в РФ и Берлине проблему КНДРПредставитель госдепа США обсудит в РФ и Берлине проблему КНДРСпецпредставитель госдепартамента США по КНДР Глайн Дэвис посетит Россию и Германию 19-22 марта. Дэвис планирует встретиться в Москве с замглавы МИД России Игорем Моргуновым.,0,6
"ВАШИНГТОН, 4 мая. /ТАСС/. Проявление слабости приведет к началу ядерной войны. Об этом заявил в пятницу президент США Дональд Трамп, выступая перед участниками 147-й ежегодной конференции Национальной стрелковой ассоциации.""Сейчас происходят замечательные вещи касательно Северной Кореи. Помните, <...> как все говорили: ""Будет ядерная война, у нас будет ядерная война"". Нет, знаете, что приведет к ядерной войне? Слабость и проявление слабости приведут к ядерной войне"", - сказал глава государства.Он подчеркнул, что США достигают успехов в ситуации на Корейском полуострове. Трамп напомнил, что между двумя странами ""три месяца назад риторика была довольно резкой"". Глава вашингтонской администрации пообещал, что теперь не будет использовать такие острые выражения и ""смягчит риторику"".",0,7
"По меньшей мере 60 человек погибли в течение последних двух дней в результате столкновений в Центральноафриканской республике.В ЦАР силы, верные смещенному президенту Франсуа Бозизе, сражаются со сторонниками нового правительства.Столкновения в ЦАР продолжаются с марта, когда повстанцы пришли к власти, свергнув президента Бозизе.",0,7
"— Это перспектива какого срока?— С точки зрения наличия каналов доставки — это перспектива ближайшего времени. Нам важно сформировать пул экспортеров и наладить их взаимодействие с китайской стороной. На форуме я встречался с торгпредом России в Китае, он эту идею полностью поддерживает.— В мае ""Почта России"" объявила тендер по поиску компании для оказания юридических услуг по сопровождению проекта в Китае. Согласно техническому заданию, юридические услуги потребуются для создания дочерней компании в Китае или Гонконге, которая займется логистической деятельностью.",0,7
"ХЕЛЬСИНКИ, 28 мар - РИА Новости. Филиал мотоклуба ""Ночные волки"" открылся в Финляндии, объединение байкеров называется RMI (""Русские мотоциклисты International""), сообщает в четверг финская полиция.""Мы подтверждаем открытие филиала RMI и прокомментируем эту тему завтра на пресс-конференции"", - говорится в сообщении полиции. По сообщениям финских СМИ, клуб открылся в городе Форсса и насчитывает около 10 членов.""Во главе отделения в Форсса стоит финн, получивший жилет с нашивками ""Ночных волков"" из рук главы мотоклуба Александра Залдостанова в Москве в январе этого года.",0,9
