text,label,perplexity
"Європейський союз вимагає зупинити розтрату коштів Фонду боротьби з коронавірусом на цілі, що не пов'язані з протидією пандемії. Згідно з повідомленням ""Євросолідарності"", було виявлено випадки використання коштів на інші потреби, що ставить під загрозу ефективну боротьбу з COVID-19 в Європі.У рамках Фонду боротьби з коронавірусом було виділено значні кошти на закупівлю медичного обладнання та засобів індивідуального захисту для медичних працівників, а також на розвиток національних систем охорони здоров'я. Проте, деякі країни використовували ці кошти на інші проекти, що не мають прямого відношення до протидії пандемії.""Євросолідарність"" закликає країни-учасниці Фонду повернути кошти, які були витрачені на інші потреби, і забезпечити прозоре використання коштів на боротьбу з COVID-19.",1,3
"* ЗРК С-400* Необхідність закупівлі ЗРК С-400* http://voennoe.com/articles/s400.htm [Архівовано 30 квітня 2016 у Wayback Machine.]* 26.07.09. Сучасні засоби ППО // Військовий огляд. 26.07.09* Росія заявила, що продасть С-400 в інші країни [Архівовано 2 листопада 2017 у Wayback Machine.]* Проект S400 [Архівовано 1 жовтня 2016 у Wayback Machine.]* ЗРК С-400* http://zbroya.info/index.php?",1,7
"Київ, Україна — Останнім часом громадськість все частіше ставить під сумнів ефективність роботи народних депутатів. З цього приводу, ми вирішили проаналізувати рейтинг активності депутатів Верховної Ради України та вияснити, хто з них дійсно відпрацьовує свій хліб.Для підрахунку активності депутатів, ми використали такі параметри, як кількість створених законопроектів, відсоток присутності на засіданнях парламенту, а також кількість виступів з трибуни.Згідно з отриманими даними, до п'ятірки найбільш активних депутатів увійшли: (тут імена та партії найбільш активних депутатів за результатами аналізу).",1,3
". Офіційно вже повідомлялось, що донецький аеропорт все ще контролюється урядом України. Водночас, за повідомленнями BBC, у Держекоринформ з'явилась інформація, що українські захисники аеропорту зазнали від 70 до 120 втрат за дві останні доби. Проте російські ЗМІ продовжують повідомляти, що донецький аеропорт уже контролюється терористами.### Output:. Офіційно вже повідомлялось, що донецький аеропорт все ще контролюється урядом України. Водночас, за повідомленнями BBC, у Держекоринформ з'явилась інформація, що українські захисники аеропорту зазнали від 70 до 120 втрат за дві останні доби. Проте російські ЗМІ продовжують повідомляти, що донецький аеропорт уже контролюється терористами.",1,2
".21 липня — Президент Володимир Зеленський наголосив на недоцільності кримінальної справи за фактом перетину російського кордону в Керченській протоці проти 64 українських моряків. В Україні справа 64 українських моряків, що перетнули кордон з Росією, не набула клопотанського характеру.22 липня — в Дніпрі затримано «на злочинних звинуваченнях» голови судів Луганської області Олександра Остапенка та Миколу Сташенка. Обидва судді очолювали суди, які в квітні цього року дозволили розшук та арешт журналістів програми «Схеми». Остапенка підозрюють у отриманні хабара та незаконному зловживанні службовим становищем, а Сташенка — у посяганні на життя охоронця.## Серпень2 серпня — НАБУ відкрило справу проти директора ТОВ «Нафтогаз України» Віктора Пинчука, його сина, а також голови ради акціонерів ТОВ «Регіональна фінансова компанія» Сергія Горбунєва щодо заволодіння ними коштів державної компанії «Нафтогаз України». 26 серпня — НАБУ відкрило кримінальне провадження проти народного депутата Мустафи Найєма.",1,4
", які працювали в нафтогазовій сфері.Звітуючи про роботу за 2018 рік, Голова Національного антикорупційного бюро Артем Сітак зазначив: «Я не думаю, що будь-який із цих міністрів зробив би бідніше себе і своїх родичів. Я думаю, що це було зроблено, щоб захистити свої інтереси. Я не кажу, що ця діяльність є протиправною».Проведення відкритих конкурсів на нові конвертовані ліцензії для видобутку нафти та газу18 червня 2018-го року Кабінет міністрів України затвердив «Основні вимоги та умови до проєктів, що подаються в ході проведення відкритих конкурсів на отримання спеціального дозволу для пошуку та розвідки родовищ нафти та газу на відповідних ділянках надр України для проведення відкритого конкурсу на отримання спеціального дозволу для освоєння виявлених родовищ нафти та газу на відповідних ділянках надр України для визначення кандидатів на відповідальне проведення закритих конкурсів на отримання спеціального дозволу на експлуатацію родовищ нафти та газу або видобуток природного газу в межах виданої ліцензії на видобування нафти та газу в межах промпроекту» (у наступному тексті Положення).",1,3
"Сенат США внесла резолюцію щодо поліпшення відносин з Росією. Це сталося під час візиту віце-президента США Джо Байдена до України. Під час зустрічі з президентом України Петром Порошенко, Байден заявив, що США будуть працювати над покращенням відносин з Росією. Резолюція, за якою США будуть працювати над поліпшенням відносин з Росією, була внесена до сенату США. Заступник голови сенату відзначив, що це є важливим кроком у напрямку покращення відносин між двома країнами.(Note: Transliterated Ukrainian text is provided in the response for reference purposes only.",1,3
10 роки тому Facebook з'явився на ринку соціальних мереж і швидко став одним з найпопулярніших мереж світу.,1,7
"втручанні у її внутрішні справи, а санкції Заходу зводяться до ""політичної агресії"". Наприкінці січня 2015 року, в знак заклику до миру та погодження в Україні, російська співачка та актриса Земфіра написала пісню рос. Не дай, не дай, не дай мне, Боже! («Дай, дай, дай мені, Боже!»), котра одразу стала дуже популярною у росіян. Її слова стали швидше принциповими та ідеалістичними, ніж спрямованими на фактичну відповідність ситуації. Але, незважаючи на те, що росіяни вказували на несправедливість санкцій ЄС, вони відкрито критикували російську владу за неефективність та брутальність їх дій. У лютому 2015 року в Москві пройшов масовий, хоча й заборонений, марш ""Росія без війни"". На початку 2016 року в соцмережах стався скандал, після того як відео, на якому російський морський піхотинець розповідав про реальне становище справ у Криму, було знято з YouTube. На його місце було завантажено інше відео, на якому російські військові вчиняли вбивства українських військових.",1,4
а більш приходиться у прийнякі вивчення нових человек.А футз за I півріччя виглядає побережно посилок на 33% цього року.,1,5
