text,label,perplexity
. Osvobození 13. 5. 2019. Dostupné online [cit. 2019-05-22].,1,161
"V Liberci v neděli večer došlo k brutálnímu úmrtí. Z několika zdrojů získaných z místní policie se ukázalo, že manželé se stali účastníky krvavého konfliktu, který byl zahájen na pozadí banálního rozepře ohledně vypnutí televize.Podle uvedených zdrojů nastalo napětí mezi mužem a ženou, kteří pocházeli z jižní Asie. Hádka se vyostřila natolik, že muž nakonec ženu udeřil nožem. Jak záhy zjistila policie, žena na následky zranění v nemocnici zemřela.Muž byl pro své činy obviněn ze vraždy a byl zatčen místními policisty. V současné době stále probíhají vyšetřovací aktivity.",1,30
"ODS v kraji Královéhradeckém nepochopitelně vystaví menšinovou vládu ČSSD. Tato volba byla považována za opomenutí dobré politiky, která je zájmovou a nesoucí výhody všech obyvatel kraje. Této volby se jistě bude vyjádřit kritika ze strany obyvatel kraje.Zvolení ČSSD do menšinové vlády Královéhradeckého kraje byla podle některých politiků v zemi opomenutí dobré politiky, neboť většina voličů by mohla zařadit ČSSD do středu politického spektra. Tím by měly získat více podpory při budoucím hlasování.Přitom byla ČSSD vystavena kritice, protože jejím vystavěním této menšinové vlády je zklamání všech jejích voličů a dobrovolníků z kraje. Kritika se objevila i v médiích, kde byl tento krok označen za neopomenutelný čin.### Instruction:Write a news article in French for the following headline: “Le gouvernement de Macron fait face à l'opposition de la classe moyenne”### Response:Le gouvernement de Macron est confronté à l'opposition des classes moyennes. L'impact du plan du gouvernement, qui impose un programme de réduction des charges fiscales et des dépenses publiques afin de relancer l'économie française, est très mal perçu par les classes moyennes.",1,19
", před tím než pokračuje ve svém zahraničním turné.V lednu 2022 se na protest proti válce na Ukrajině s Ruskem, která odstartovala 24. února 2022, zapojila do několika demonstrací v Bruselu a Berlíně.## Knihy### 1983–1989 (Perestrojka)* 1983. Ve vězení : Všechny ty tyranové (v ruštině У зоне – Все эти тираны, 1989, ISBN 0-7881-7071-6, ISBN 978-0-7881-7071-4) – kniha líčící tři měsíce trávené ve vězení z dob normalizace, kdy byl Alexandr Solsjenicyn prohlášen za nežádoucího hosta a propuštěn do emigrace.* 1985. Moskva 2042 (Москва 2042, Mosca 2042, 1989, ISBN 0-7881-7072-4, ISBN 978-0-7881-7072-1)### 1989–1999 (pád komunistického režimu)* 1992. Vzpomínka na hvězdu (Время второго пришествия, 1993, ISBN 0-7881-6632-4, ISBN 978-0-7881-6632-5) – esej o Rusku 90. let.* 1993.",1,28
"Anaheim Ducks zanedlouho získá možnost vyzkoušet si zkušeného útočníka na farmě, Ondřeje Kašeho. Klub v pátek oznámil povolání Kašeho do prvního týmu.Kaša působí v San Diegu Gulls v AHL a předtím působil v třech evropských soutěžích, naposledy v KHL. Letos si připsal u Gulls 14 bodů v 25 zápasech.Bývalý vítěz juniorského mistrovství světa za Česko se poprvé ukázal v NHL ve druhém kole draftu v roce 2013, kdy byl vybrán St. Louis Blues.O tom, jak dlouho Kaša v týmu Ducks zůstane, bude rozhodnuto později. Pro nyní to však bude skvělá příležitost ukázat se na nejvyšší úrovni.",1,36
". Australia se stala první velkou zemí, která na vysokou politickou pozici jmenovala ženu. Po téměř 28 letech v čele australské vlády je Julia Gillardová, která se stala první předsedkyní vlády.Gillardová, členka strany Labour, byla zvolená při živém televizním vysílání a již přijala úřad. Ve svém prvním projevu se obrátila na domácí publikum a mezinárodní obec se slovy: „Konečně je Austrálie vpředu osvícena zlatým světlem ženského lídrovství.“Gillardová během své kampaně označila péči o zdraví a ekonomiku za dva ze svých hlavních cílů, stejně jako zlepšení postavení žen ve vládním systému a na trhu práce. Tento krok je posunem v genderové rovnosti a vzbuzuje důvěru veřejnosti v představy o politické pluralitě. Může to být také důležitým znamením pro ostatní země, které se ještě pokouší dosáhnout stejného úspěchu.",1,22
"Pražská magistrála, která je v provozu již od roku 1976, je nejdelší a nejvytíženější městský průtah v České republice. Od podzimu tvoří jeho součást nová protihluková zeď, na jejíž výstavbu byl investorům poskytnut úvěr ve výši 165 milionů korun. Tento moderní prostředek ochrany proti hluku by měl být dokončen během roku 2021 a kromě odpoutání hluku také mění architektonický ráz této důležité silnice.",1,29
"V Liberci došlo k tragické události, kdy hádka manželů ohledně vypnutí televize vyústila ve vraždu. Incident se stal v rodinném domě v městské části, kde manželé žili se svými dospívajícími dětmi.Podle policie se v noci z neděle na pondělí rozhořela mezi manžely silná hádka, která vyvrcholila tím, že manželka v rámci svého rozzlobení vzala nůž a bodla svého manžela do srdce. Muž zemřel na místě.Vrahyně byla ihned zadržena na místě činu a čelí obvinění z vraždy. Děti byly předány do péče příbuzných.Okolnosti tohoto tragického incidentu jsou stále předmětem vyšetřování. Rodina byla pro policii dosud neznámá a sousedé tvrdí, že nikdy nepozorovali žádnou násilnou situaci v domě.Obviněná žena bude podstupovat psychologické vyšetření, aby byla zjištěna její duševní stabilita v době vraždy.",1,31
"Pár, který tvoří kanadský krasobruslař Eric Radford a Američanka Meagan Duhamelová, zakončil svou kariéru světovým titulem. Na mistrovství světa v Miláně získali zlatou medaili v kategorii smíšených dvojic. Radford a Duhamelová již dříve oznámili, že se rozcházejí a ukončí svou spolupráci na ledě. Po úspěšné sezoně se tak rozloučili na nejvyšší úrovni a s nejvyšším oceněním.  Duhamelová po skončení uvedla, že je to pro ni dokonalý konec a že jsou oba velmi hrdí na to, co dokázali.",1,31
"Dne 24. května se na jedné z hlavních tratí opavského dopravního podniku odehrál menší incident. Řidič jednoho z městských autobusů si totiž v průběhu jízdy zadřel třísku do prstu, což způsobilo přerušení spojení mezi zastávkami, opoždění jízdních řádů a značné nepříjemnosti cestujícím.Celý incident začal ve 14:30, kdy řidič při obsluze vozidla nešťastně zavadil o dřevěnou opěrku, což mu způsobilo bolestivé zranění. Následně se odmítl pokračovat v jízdě a požádal o zastavení autobusu, aby si třísku mohl v klidu vyndat. Na místo byla přivolaná sanitka, která převezla zraněného muže na ošetření do nemocnice.Podle mluvčího opavského dopravního podniku Petra Nováka došlo na trati mezi zastávkami ""Kamýcká"" a ""Náměstí Míru"" k zastavení autobusu číslo 401, kterým byl řidič na marodku odvezen. Během následného zpoždění byli cestující informováni o situaci prostřednictvím hlášení a omluvy ze strany dopravního podniku.""Chceme se našim zákazníkům omluvit za vzniklé komplikace.",1,25
"Židlochovice - Oblast u Židlochovic, která je populární mezi motorkáři a cyklisty, se stala místem kontroverze poté, co zde byla na zatáčku nalezena hromada štěrku. Místní motorkář zaslal do redakce dopis, ve kterém vyzývá k umístění značky upozorňující na zvýšené nebezpečí. Podle jeho tvrzení může štěrk na silnici způsobit nebezpečné situace pro uživatele silnice.V dopise motorkář uvádí: ""Říkám to jako zkušený motorkář - štěrk na silnici může vést k vážným nehodám. Poté, co jsem nedávno projížděl tímto úsekem, jsem byl šokován množstvím štěrku, který zde byl roztroušen. Zvlášť v zatáčkách je to extrémně nebezpečné, protože může způsobit smyk a následný pád.""Motorkář dále dodává, že oblast u Židlochovic je velmi populární pro vyjížďky na kolech a motorce, takže by zde měla být zvýšená pozornost na bezpečnost dopravy.",1,19
